GohirA01G045200	Myb_box5_MYB	2.0646	-354	-349
GohirA01G045200	Myb_box4_MYB	3.6677	-361	-355

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G045500	G_ABRE_bZIP	4.5294	-813	-806
GohirA01G045500	Myb_box5_MYB	2.7397	-62	-57
GohirA01G045500	G_box_bHLH	4.1761	-813	-808
GohirA01G045500	G_box1_bZIP	4.9014	-814	-807
GohirA01G045500	HSE1_HSF	1.6503	-185	-178

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G047300	Myb_box3_MYB	2.1944	-302	-297
GohirA01G047300	HSE1_HSF	0.2721	-888	-881
GohirA01G047300	HSE1_HSF	0.2721	-647	-640
GohirA01G047300	Myb_box5_MYB	2.1256	-746	-741
GohirA01G047300	Myb_box2_MYB	2.8545	-490	-485
GohirA01G047300	AuxRE_ARF	2.7387	-433	-428
GohirA01G047300	Myb_box1_MYB	1.5101	-302	-297
GohirA01G047300	W_box_WRKY	2.2027	-363	-358
GohirA01G047300	Myb_box4_MYB	2.7434	-495	-489
GohirA01G047300	Myb_box4_MYB	2.7434	-536	-530
GohirA01G047300	Myb_box4_MYB	2.7434	-501	-495

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G047552	Myb_box5_MYB	1.0510	-65	-60
GohirA01G047552	Myb_box3_MYB	1.8207	-65	-60
GohirA01G047552	N_box_bHLH	2.8481	-136	-131
GohirA01G047552	Myb_box1_MYB	1.1961	-65	-60
GohirA01G047552	HSE1_HSF	0.0760	-406	-399
GohirA01G047552	DREB_AP2_EREBP	2.2943	-162	-157

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G053600	W_box_WRKY	1.5886	-210	-205
GohirA01G053600	Myb_box5_MYB	1.3050	-780	-775
GohirA01G053600	Myb_box5_MYB	1.3050	-70	-65
GohirA01G053600	Myb_box5_MYB	1.3050	-782	-777
GohirA01G053600	Myb_box5_MYB	1.3050	-253	-248
GohirA01G053600	Myb_box1_MYB	1.4920	-253	-248
GohirA01G053600	Myb_box3_MYB	2.2564	-253	-248
GohirA01G053600	DREB_AP2_EREBP	3.5088	-79	-74
GohirA01G053600	HSE1_HSF	0.9317	-334	-327
GohirA01G053600	HSE1_HSF	0.9317	-870	-863
GohirA01G053600	N_box_bHLH	2.8216	-414	-409

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G053700	Myb_box2_MYB	3.2463	-417	-412
GohirA01G053700	Myb_box5_MYB	2.4423	-21	-16
GohirA01G053700	Myb_box5_MYB	2.4423	-552	-547
GohirA01G053700	Myb_box5_MYB	2.4423	-174	-169
GohirA01G053700	W_box_WRKY	2.5134	-560	-555
GohirA01G053700	Nac_box_NAC	3.1641	-594	-589
GohirA01G053700	Myb_box3_MYB	2.4845	-588	-583
GohirA01G053700	AuxRE_ARF	3.0623	-410	-405
GohirA01G053700	AuxRE_ARF	3.0623	-464	-459
GohirA01G053700	Myb_box4_MYB	3.1939	-819	-813
GohirA01G053700	Myb_box1_MYB	2.5288	-21	-16

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G060400	G_box2_bZIP	2.2607	-236	-231
GohirA01G060400	G_box2_bZIP	2.2607	-961	-956
GohirA01G060400	W_box_WRKY	1.5401	-529	-524
GohirA01G060400	W_box_WRKY	1.5401	-280	-275
GohirA01G060400	Myb_box1_MYB	3.0904	-118	-113
GohirA01G060400	Nac_box_NAC	2.9264	-508	-503
GohirA01G060400	HSE1_HSF	0.8833	-354	-347
GohirA01G060400	HSE1_HSF	0.8833	-535	-528
GohirA01G060400	HSE1_HSF	0.8833	-684	-677
GohirA01G060400	Myb_box5_MYB	3.0540	-118	-113
GohirA01G060400	N_box_bHLH	2.9700	-387	-382

No TFBS found
Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G073400	Nac_box_NAC	2.9980	-36	-31
GohirA01G073400	Nac_box_NAC	2.9980	-567	-562
GohirA01G073400	HSE1_HSF	1.7986	-353	-346
GohirA01G073400	Myb_box2_MYB	3.0717	-886	-881
GohirA01G073400	W_box_WRKY	2.3942	-882	-877
GohirA01G073400	Myb_box5_MYB	2.2839	-515	-510
GohirA01G073400	Myb_box5_MYB	2.2839	-885	-880
GohirA01G073400	G_box2_bZIP	3.1114	-7	-2

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G075700	G_box_bHLH	4.1450	-11	-6
GohirA01G075700	Myb_box1_MYB	2.8097	-838	-833
GohirA01G075700	G_box2_bZIP	2.8817	-771	-766
GohirA01G075700	Myb_box5_MYB	3.4448	-229	-224

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G082500	Myb_box1_MYB	2.5769	-902	-897
GohirA01G082500	N_box_bHLH	3.8910	-120	-115
GohirA01G082500	Myb_box5_MYB	2.4517	-116	-111
GohirA01G082500	Myb_box5_MYB	2.4517	-902	-897
GohirA01G082500	Myb_box5_MYB	2.4517	-330	-325
GohirA01G082500	W_box_WRKY	1.8584	-47	-42

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G092000	G_box2_bZIP	2.8183	-879	-874
GohirA01G092000	DREB_AP2_EREBP	3.4487	-8	-3
GohirA01G092000	Myb_box1_MYB	1.9817	-705	-700
GohirA01G092000	W_box_WRKY	2.0151	-823	-818
GohirA01G092000	Myb_box2_MYB	3.5380	-20	-15
GohirA01G092000	HSE1_HSF	1.4866	-48	-41
GohirA01G092000	Myb_box5_MYB	2.6327	-87	-82
GohirA01G092000	Myb_box3_MYB	2.7282	-705	-700

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G092700	Myb_box5_MYB	2.2612	-472	-467
GohirA01G092700	W_box_WRKY	2.4494	-378	-373
GohirA01G092700	W_box_WRKY	2.4494	-374	-369
GohirA01G092700	HSE1_HSF	1.7977	-797	-790
GohirA01G092700	AuxRE_ARF	3.1137	-254	-249

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G093200	HSE1_HSF	1.6493	-431	-424
GohirA01G093200	Myb_box1_MYB	2.9012	-103	-98
GohirA01G093200	Myb_box1_MYB	2.9012	-352	-347
GohirA01G093200	Myb_box5_MYB	2.8028	-63	-58
GohirA01G093200	Myb_box5_MYB	2.8028	-103	-98
GohirA01G093200	Myb_box5_MYB	2.8028	-352	-347
GohirA01G093200	Myb_box5_MYB	2.8028	-72	-67

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G102400	Myb_box2_MYB	2.7354	-441	-436
GohirA01G102400	Myb_box2_MYB	2.7354	-391	-386
GohirA01G102400	Nac_box_NAC	2.8433	-550	-545
GohirA01G102400	Myb_box5_MYB	2.0767	-162	-157
GohirA01G102400	G_box_bHLH	3.3658	-547	-542

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G108200	Myb_box5_MYB	0.7492	-245	-240
GohirA01G108200	Myb_box5_MYB	0.7492	-432	-427
GohirA01G108200	W_box_WRKY	1.6868	-752	-747
GohirA01G108200	W_box_WRKY	1.6868	-393	-388
GohirA01G108200	DREB_AP2_EREBP	2.8690	-169	-164

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G119900	Myb_box1_MYB	2.3449	-84	-79
GohirA01G119900	HSE1_HSF	0.3123	-565	-558
GohirA01G119900	Myb_box3_MYB	2.3064	-893	-888
GohirA01G119900	W_box_WRKY	1.6258	-23	-18
GohirA01G119900	Myb_box2_MYB	2.9602	-886	-881
GohirA01G119900	Myb_box5_MYB	2.9984	-885	-880
GohirA01G119900	Myb_box5_MYB	2.9984	-887	-882

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G125500	Myb_box3_MYB	2.4192	-878	-873
GohirA01G125500	Myb_box3_MYB	2.4192	-106	-101
GohirA01G125500	Myb_box3_MYB	2.4192	-905	-900
GohirA01G125500	Myb_box5_MYB	3.1208	-435	-430
GohirA01G125500	W_box_WRKY	2.5408	-222	-217
GohirA01G125500	HSE1_HSF	0.3868	-49	-42
GohirA01G125500	HSE1_HSF	0.3868	-128	-121
GohirA01G125500	N_box_bHLH	3.0908	-41	-36
GohirA01G125500	Myb_box1_MYB	1.6651	-905	-900
GohirA01G125500	Myb_box1_MYB	1.6651	-106	-101
GohirA01G125500	Myb_box1_MYB	1.6651	-878	-873

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G126100	W_box_WRKY	2.2144	-302	-297
GohirA01G126100	W_box_WRKY	2.2144	-459	-454
GohirA01G126100	HSE1_HSF	0.7570	-332	-325
GohirA01G126100	Myb_box1_MYB	1.3557	-276	-271
GohirA01G126100	Myb_box4_MYB	2.6954	-195	-189
GohirA01G126100	Myb_box4_MYB	2.6954	-136	-130
GohirA01G126100	Myb_box5_MYB	1.1634	-228	-223
GohirA01G126100	Myb_box5_MYB	1.1634	-214	-209
GohirA01G126100	Myb_box5_MYB	1.1634	-484	-479
GohirA01G126100	Myb_box5_MYB	1.1634	-998	-993
GohirA01G126100	Myb_box5_MYB	1.1634	-544	-539
GohirA01G126100	Myb_box5_MYB	1.1634	-371	-366
GohirA01G126100	Myb_box5_MYB	1.1634	-276	-271
GohirA01G126100	Myb_box5_MYB	1.1634	-372	-367
GohirA01G126100	Myb_box3_MYB	2.1478	-276	-271

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G130900	HSE1_HSF	1.0386	-275	-268
GohirA01G130900	HSE1_HSF	1.0386	-253	-246
GohirA01G130900	G_box2_bZIP	2.2128	-217	-212
GohirA01G130900	W_box_WRKY	1.6034	-905	-900
GohirA01G130900	G_box_bHLH	3.3444	-117	-112
GohirA01G130900	Myb_box1_MYB	2.2196	-997	-992
GohirA01G130900	Myb_box5_MYB	2.1373	-997	-992
GohirA01G130900	Myb_box5_MYB	2.1373	-77	-72
GohirA01G130900	Myb_box2_MYB	3.0759	-76	-71
GohirA01G130900	Myb_box3_MYB	2.1997	-228	-223

No TFBS found
Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G133800	Myb_box5_MYB	2.3005	-88	-83
GohirA01G133800	W_box_WRKY	1.7195	-503	-498
GohirA01G133800	AuxRE_ARF	3.0354	-211	-206
GohirA01G133800	Myb_box1_MYB	1.6559	-847	-842
GohirA01G133800	HSE1_HSF	0.4105	-918	-911
GohirA01G133800	Myb_box3_MYB	2.3751	-847	-842
GohirA01G133800	Myb_box2_MYB	3.1313	-140	-135

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G137000	Myb_box5_MYB	3.0812	-520	-515
GohirA01G137000	DREB_AP2_EREBP	2.9914	-155	-150
GohirA01G137000	W_box_WRKY	2.4036	-184	-179
GohirA01G137000	W_box_WRKY	2.4036	-769	-764
GohirA01G137000	G_box2_bZIP	2.3565	-642	-637
GohirA01G137000	Myb_box1_MYB	1.6645	-913	-908
GohirA01G137000	Myb_box3_MYB	2.3530	-913	-908
GohirA01G137000	Nac_box_NAC	2.9326	-46	-41

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G140465	Myb_box1_MYB	1.5492	-875	-870
GohirA01G140465	Myb_box1_MYB	1.5492	-183	-178
GohirA01G140465	Myb_box2_MYB	3.1818	-64	-59
GohirA01G140465	Myb_box3_MYB	2.3105	-875	-870
GohirA01G140465	Myb_box3_MYB	2.3105	-183	-178
GohirA01G140465	HSE1_HSF	0.1831	-305	-298
GohirA01G140465	W_box_WRKY	1.6401	-55	-50
GohirA01G140465	Nac_box_NAC	2.9528	-332	-327
GohirA01G140465	Nac_box_NAC	2.9528	-159	-154
GohirA01G140465	G_box2_bZIP	2.3479	-264	-259
GohirA01G140465	G_box2_bZIP	2.3479	-445	-440
GohirA01G140465	Myb_box5_MYB	2.2726	-63	-58

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G140963	Myb_box5_MYB	3.3498	-533	-528
GohirA01G140963	W_box_WRKY	2.7059	-497	-492
GohirA01G140963	G_box_bHLH	3.9997	-653	-648
GohirA01G140963	DREB_AP2_EREBP	3.3431	-464	-459
GohirA01G140963	HSE1_HSF	1.4244	-18	-11
GohirA01G140963	HSE1_HSF	1.4244	-456	-449
GohirA01G140963	HSE1_HSF	1.4244	-575	-568
GohirA01G140963	HSE1_HSF	1.4244	-509	-502

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G149500	HSE1_HSF	1.2297	-970	-963
GohirA01G149500	W_box_WRKY	1.7673	-532	-527
GohirA01G149500	Myb_box5_MYB	2.4320	-346	-341
GohirA01G149500	Myb_box5_MYB	2.4320	-908	-903
GohirA01G149500	Myb_box5_MYB	2.4320	-148	-143
GohirA01G149500	Myb_box5_MYB	2.4320	-146	-141
GohirA01G149500	Myb_box3_MYB	2.4360	-382	-377
GohirA01G149500	Myb_box1_MYB	2.4920	-146	-141

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G156250	Myb_box5_MYB	4.0241	-919	-914
GohirA01G156250	Myb_box2_MYB	4.2498	-918	-913
GohirA01G156250	HBE_HB	2.5228	-561	-553

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G158200	W_box_WRKY	1.8135	-591	-586
GohirA01G158200	W_box_WRKY	1.8135	-684	-679
GohirA01G158200	Myb_box1_MYB	2.4984	-116	-111
GohirA01G158200	Myb_box4_MYB	3.0864	-263	-257
GohirA01G158200	Myb_box4_MYB	3.0864	-994	-988
GohirA01G158200	Myb_box5_MYB	2.4050	-116	-111
GohirA01G158200	Myb_box5_MYB	2.4050	-264	-259
GohirA01G158200	HSE1_HSF	1.9777	-18	-11

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G164000	Myb_box3_MYB	2.4113	-619	-614
GohirA01G164000	Myb_box3_MYB	2.4113	-439	-434
GohirA01G164000	Myb_box3_MYB	2.4113	-900	-895
GohirA01G164000	AuxRE_ARF	3.0672	-142	-137
GohirA01G164000	DREB_AP2_EREBP	3.1093	-98	-93
GohirA01G164000	DREB_AP2_EREBP	3.1093	-94	-89
GohirA01G164000	Myb_box5_MYB	1.5763	-24	-19
GohirA01G164000	Myb_box5_MYB	1.5763	-742	-737
GohirA01G164000	Myb_box5_MYB	1.5763	-619	-614
GohirA01G164000	Myb_box5_MYB	1.5763	-439	-434
GohirA01G164000	Myb_box5_MYB	1.5763	-294	-289
GohirA01G164000	Myb_box5_MYB	1.5763	-740	-735
GohirA01G164000	Myb_box5_MYB	1.5763	-900	-895
GohirA01G164000	HSE1_HSF	1.1733	-755	-748
GohirA01G164000	Myb_box1_MYB	1.7039	-619	-614
GohirA01G164000	Myb_box1_MYB	1.7039	-439	-434
GohirA01G164000	Myb_box1_MYB	1.7039	-900	-895

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G167600	W_box_WRKY	1.4313	-970	-965
GohirA01G167600	DREB_AP2_EREBP	2.7562	-836	-831
GohirA01G167600	Myb_box5_MYB	2.8695	-622	-617
GohirA01G167600	G_box_bHLH	3.3338	-101	-96
GohirA01G167600	Nac_box_NAC	2.7200	-495	-490
GohirA01G167600	Nac_box_NAC	2.7200	-717	-712

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G169100	Myb_box1_MYB	2.4597	-872	-867
GohirA01G169100	Myb_box5_MYB	2.2885	-662	-657
GohirA01G169100	Myb_box5_MYB	2.2885	-27	-22
GohirA01G169100	Myb_box5_MYB	2.2885	-872	-867
GohirA01G169100	Myb_box5_MYB	2.2885	-37	-32
GohirA01G169100	Myb_box5_MYB	2.2885	-312	-307
GohirA01G169100	Myb_box5_MYB	2.2885	-35	-30
GohirA01G169100	DREB_AP2_EREBP	3.0396	-400	-395
GohirA01G169100	HSE1_HSF	1.2121	-572	-565
GohirA01G169100	HSE1_HSF	1.2121	-308	-301
GohirA01G169100	HSE1_HSF	1.2121	-366	-359
GohirA01G169100	Myb_box2_MYB	3.0631	-112	-107
GohirA01G169100	W_box_WRKY	1.8114	-175	-170

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G181300	HSE1_HSF	1.0336	-532	-525
GohirA01G181300	Myb_box1_MYB	1.5881	-633	-628
GohirA01G181300	W_box_WRKY	2.3900	-480	-475
GohirA01G181300	Myb_box3_MYB	2.3289	-633	-628
GohirA01G181300	Myb_box5_MYB	3.0813	-163	-158

No TFBS found
No TFBS found
Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G190400	W_box_WRKY	2.7685	-866	-861
GohirA01G190400	AuxRE_ARF	3.3919	-554	-549
GohirA01G190400	DREB_AP2_EREBP	3.4104	-984	-979
GohirA01G190400	Myb_box5_MYB	1.7403	-886	-881
GohirA01G190400	Myb_box5_MYB	1.7403	-725	-720
GohirA01G190400	Myb_box5_MYB	1.7403	-634	-629
GohirA01G190400	Myb_box5_MYB	1.7403	-993	-988
GohirA01G190400	Myb_box5_MYB	1.7403	-973	-968

No TFBS found
Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G225300	HSE1_HSF	1.3185	-856	-849
GohirA01G225300	W_box_WRKY	1.9739	-528	-523
GohirA01G225300	GCC_box_AP2_EREBP	4.1150	-27	-22
GohirA01G225300	Myb_box4_MYB	2.4758	-705	-699
GohirA01G225300	Myb_box2_MYB	2.5396	-709	-704
GohirA01G225300	Myb_box5_MYB	1.8307	-41	-36
GohirA01G225300	Myb_box5_MYB	1.8307	-273	-268

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G000050	Myb_box5_MYB	3.2969	-898	-893
GohirA02G000050	Myb_box1_MYB	3.3338	-898	-893
GohirA02G000050	W_box_WRKY	1.7992	-190	-185
GohirA02G000050	HSE1_HSF	1.1823	-312	-305

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G018400	HSE1_HSF	1.2334	-778	-771
GohirA02G018400	AuxRE_ARF	3.0863	-821	-816
GohirA02G018400	HBE_HB	1.8228	-928	-920
GohirA02G018400	Myb_box1_MYB	2.4289	-429	-424
GohirA02G018400	Myb_box1_MYB	2.4289	-445	-440
GohirA02G018400	Myb_box5_MYB	2.3087	-445	-440
GohirA02G018400	Myb_box5_MYB	2.3087	-429	-424
GohirA02G018400	G_box_bHLH	3.5803	-845	-840
GohirA02G018400	G_box_bHLH	3.5803	-848	-843
GohirA02G018400	Myb_box3_MYB	2.4101	-398	-393

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G023200	Myb_box1_MYB	2.2250	-293	-288
GohirA02G023200	Myb_box1_MYB	2.2250	-452	-447
GohirA02G023200	Myb_box3_MYB	2.1952	-326	-321
GohirA02G023200	G_box2_bZIP	2.2132	-670	-665
GohirA02G023200	Myb_box2_MYB	3.0047	-39	-34
GohirA02G023200	Myb_box4_MYB	2.9248	-498	-492
GohirA02G023200	Myb_box5_MYB	2.1564	-69	-64
GohirA02G023200	Myb_box5_MYB	2.1564	-452	-447
GohirA02G023200	Myb_box5_MYB	2.1564	-293	-288
GohirA02G023200	Myb_box5_MYB	2.1564	-518	-513
GohirA02G023200	W_box_WRKY	1.4869	-789	-784

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G023500	HSE1_HSF	0.4164	-906	-899
GohirA02G023500	Myb_box5_MYB	2.4077	-257	-252
GohirA02G023500	Myb_box5_MYB	2.4077	-928	-923
GohirA02G023500	Nac_box_NAC	3.1664	-532	-527
GohirA02G023500	Nac_box_NAC	3.1664	-535	-530
GohirA02G023500	AuxRE_ARF	3.1118	-52	-47
GohirA02G023500	Myb_box3_MYB	2.4628	-744	-739
GohirA02G023500	Myb_box3_MYB	2.4628	-472	-467
GohirA02G023500	ABRE_ABI3_VP1	4.4943	-123	-114
GohirA02G023500	Myb_box1_MYB	1.7334	-472	-467
GohirA02G023500	Myb_box1_MYB	1.7334	-744	-739

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G024000	HSE1_HSF	1.7740	-126	-119
GohirA02G024000	Nac_box_NAC	2.9451	-295	-290
GohirA02G024000	Myb_box5_MYB	2.1330	-798	-793
GohirA02G024000	Myb_box5_MYB	2.1330	-796	-791
GohirA02G024000	W_box_WRKY	2.2987	-18	-13
GohirA02G024000	G_box2_bZIP	2.2930	-291	-286

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G029700	Myb_box1_MYB	3.3939	-815	-810
GohirA02G029700	Myb_box4_MYB	3.2555	-521	-515
GohirA02G029700	HSE1_HSF	1.3865	-397	-390
GohirA02G029700	AuxRE_ARF	3.3365	-440	-435
GohirA02G029700	W_box_WRKY	1.8940	-970	-965
GohirA02G029700	Myb_box5_MYB	3.3333	-815	-810

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G033100	Myb_box2_MYB	2.7568	-796	-791
GohirA02G033100	W_box_WRKY	2.2618	-183	-178
GohirA02G033100	G_box2_bZIP	2.9781	-417	-412
GohirA02G033100	Myb_box1_MYB	2.2634	-487	-482
GohirA02G033100	Myb_box1_MYB	2.2634	-465	-460
GohirA02G033100	Myb_box5_MYB	2.1206	-487	-482
GohirA02G033100	Myb_box5_MYB	2.1206	-700	-695
GohirA02G033100	Myb_box5_MYB	2.1206	-465	-460
GohirA02G033100	Myb_box5_MYB	2.1206	-999	-994
GohirA02G033100	Myb_box5_MYB	2.1206	-489	-484
GohirA02G033100	HSE1_HSF	0.9819	-634	-627

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G035016	Myb_box3_MYB	2.2977	-274	-269
GohirA02G035016	Myb_box1_MYB	3.0759	-857	-852
GohirA02G035016	Myb_box5_MYB	3.0296	-857	-852
GohirA02G035016	G_box2_bZIP	2.2981	-679	-674

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G046500	Myb_box2_MYB	3.9818	-100	-95
GohirA02G046500	W_box_WRKY	2.2214	-674	-669
GohirA02G046500	Nac_box_NAC	3.6141	-88	-83
GohirA02G046500	Myb_box5_MYB	1.9822	-957	-952
GohirA02G046500	Myb_box5_MYB	1.9822	-182	-177
GohirA02G046500	Myb_box5_MYB	1.9822	-56	-51
GohirA02G046500	Myb_box5_MYB	1.9822	-526	-521

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G047700	W_box_WRKY	2.2690	-165	-160
GohirA02G047700	Myb_box5_MYB	2.8260	-456	-451
GohirA02G047700	Myb_box2_MYB	2.9235	-455	-450
GohirA02G047700	G_box_bHLH	3.3406	-228	-223

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G048300	Myb_box1_MYB	2.6743	-771	-766
GohirA02G048300	G_box_bHLH	3.9731	-365	-360
GohirA02G048300	G_ABRE_bZIP	4.4281	-365	-358
GohirA02G048300	Myb_box2_MYB	3.3538	-310	-305
GohirA02G048300	Myb_box5_MYB	2.5322	-376	-371
GohirA02G048300	Myb_box5_MYB	2.5322	-771	-766
GohirA02G048300	Myb_box5_MYB	2.5322	-563	-558
GohirA02G048300	HBE_HB	2.0882	-671	-663
GohirA02G048300	W_box_WRKY	1.8999	-677	-672
GohirA02G048300	HSE1_HSF	1.4069	-204	-197

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G057001	Myb_box3_MYB	2.5162	-140	-135
GohirA02G057001	Myb_box1_MYB	1.7628	-140	-135
GohirA02G057001	G_box_bHLH	3.8079	-248	-243
GohirA02G057001	G_box1_bZIP	4.5525	-249	-242
GohirA02G057001	Myb_box5_MYB	2.4304	-37	-32

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA02G060800	DREB_AP2_EREBP	3.4330	-189	-184
GohirA02G060800	Myb_box5_MYB	2.6560	-929	-924
